symbol,LTP,change,predicted_price,pChange,decision
CAMPUS.NS,282.5,0.25,282.12,-0.13,Predicted Sell
BAJAJ-AUTO.NS,9481.0,0.64,9509.4,0.3,Predicted Watch
CHALET.NS,826.6,1.45,826.72,0.01,Predicted Watch
TBOTEK.NS,1583.55,-1.09,1601.95,1.16,Predicted Watch
GODIGIT.NS,322.2,1.03,321.96,-0.07,Predicted Sell
TATACOMM.NS,1755.0,0.57,1754.01,-0.06,Predicted Sell
CANBK.NS,99.43,0.3,98.92,-0.51,Predicted Sell
SBIN.NS,811.0,0.12,811.0,0.0,Predicted Watch
TITAN.NS,3188.0,0.42,3191.31,0.1,Predicted Watch
COFORGE.NS,8115.35,0.69,8057.33,-0.71,Predicted Sell
JUSTDIAL.NS,1073.5,1.24,1070.8,-0.25,Predicted Sell
MOTHERSON.NS,162.94,0.95,160.35,-1.59,Predicted Sell
BANKBARODA.NS,244.75,0.23,245.01,0.11,Predicted Watch
GODREJPROP.NS,2578.0,-0.52,2587.92,0.38,Predicted Watch
VARROC.NS,503.15,-0.31,513.24,2.01,Predicted Buy Opportunity
IEX.NS,163.1,0.26,163.94,0.52,Predicted Watch
INDIGO.NS,3842.0,-0.35,3877.73,0.93,Predicted Watch
ZOMATO.NS,263.25,0.25,259.89,-1.28,Predicted Sell
PVRINOX.NS,1458.85,0.61,1455.09,-0.26,Predicted Sell
MUTHOOTFIN.NS,1774.25,-0.34,1775.3,0.06,Predicted Watch
TVSMOTOR.NS,2382.85,0.32,2388.68,0.24,Predicted Watch
EXIDEIND.NS,418.2,-0.38,422.26,0.97,Predicted Watch
GLENMARK.NS,1554.7,0.98,1556.86,0.14,Predicted Watch
TIMKEN.NS,3299.55,-1.2,3331.21,0.96,Predicted Watch
GAIL.NS,189.9,-0.18,191.75,0.97,Predicted Watch
HFCL.NS,122.54,0.2,121.97,-0.47,Predicted Sell
ABBOTINDIA.NS,27776.05,-0.27,27832.14,0.2,Predicted Watch
KOTAKBANK.NS,1694.65,-0.05,1701.31,0.39,Predicted Watch
